,label,sentence,translate_result
0,1,"a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films","a touching, funny and ultimately transporting rethink of beauty and the beasts - and 1930s horror films"
1,0,apparently reassembled from the cutting-room floor of any given daytime soap .,apparently again composed of the cutting room floor of a certain day soap.
2,0,"they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .","They assume that their audience would not sit still for a sociology lesson, however entertaining they may be, so that they display the conventional science fiction elements of bug -eyed monsters and futuristic women in tight clothes."
3,1,"this is a visually stunning rumination on love , memory , history and the war between art and commerce .","This is a visually impressive discussion about love, memory, history and the war between art and commerce."
4,1,jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .,Jonathan Parker's Bartleby was supposed to be the end of all modern anonymous movies.
5,1,campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .,campanella gets the sound just right -- funny in the middle of sad in the middle of hopeful.
6,0,a fan film that for the uninitiated plays better on video with the sound turned down .,a fan movie that plays better for the uninitiated on video with the downloaded sound.
7,1,"béart and berling are both superb , while huppert ... is magnificent .","b233b;Art and berling are both excellent, while huppert...is great."
8,0,"a little less extreme than in the past , with longer exposition sequences between them , and with fewer gags to break the tedium .","a little less extreme than in the past, with longer exposure sequences between them and fewer gags to break the boredom."
9,0,the film is strictly routine .,The film is strictly routine.
10,1,a lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .,a lyrical metaphor for cultural and personal self -discovery and a picturesque view of a slightly forgotten world.
11,0,the most repugnant adaptation of a classic text since roland joffé and demi moore 's the scarlet letter .,the most disgusting adaptation of a classic text since Roland joffsob233; and demi moore's of the scarlet letter.
12,0,"for something as splendid-looking as this particular film , the viewer expects something special but instead gets -lrb- sci-fi -rrb- rehash .","For something as magnificent -looking as this special film, the viewer expects something special, but instead he gets -lrb - sci -fi -rrb - rehash."
13,1,"this is a stunning film , a one-of-a-kind tour de force .","This is an impressive film, a unique tour de force."
14,1,"may be more genial than ingenious , but it gets the job done .","Maybe it's more genius than genius, but it does the job."
15,1,"there is a freedom to watching stunts that are this crude , this fast-paced and this insane .","There's a freedom to see stunts that are so crude, these racing and these crazy."
16,0,"if the tuxedo actually were a suit , it would fit chan like a $ 99 bargain-basement special .","If the tux were actually a suit, it would fit like a $99 bargaining basement special."
17,1,"as quiet , patient and tenacious as mr. lopez himself , who approaches his difficult , endless work with remarkable serenity and discipline .","as quiet and patient as Mr. Lopez himself, who approaches his difficult, endless work with remarkable serenity and discipline."
18,0,final verdict : you 've seen it all before .,Final report: You have seen everything before.
19,0,"blue crush follows the formula , but throws in too many conflicts to keep the story compelling .","Blue Crush follows the formula, but throws in too many conflicts to make history convincing."
20,0,you ... get a sense of good intentions derailed by a failure to seek and strike just the right tone .,You... a feeling of good intentions is derailed by looking for a failure and hitting exactly the right tone.
21,1,"a slick , engrossing melodrama .","a smooth, captivating melodrama."
22,0,a wretched movie that reduces the second world war to one man 's quest to find an old flame .,A miserable film that reduces World War II to looking for an old flame.
23,0,"will undoubtedly play well in european markets , where mr. besson is a brand name , and in asia , where ms. shu is an institution , but american audiences will probably find it familiar and insufficiently cathartic .","will undoubtedly play well in the European markets, where Mr. Besson is a brand name, and in Asia, where Ms. Shu is an institution, but the American public will probably trust it and find it insufficiently cathartic."
