,label,sentence,translate_result
0,0,How did serfdom develop in and then leave Russia ?,How did the property develop in Russia and then leave?
1,1,What films featured the character Popeye Doyle ?,What films showed the character of Popeye Doyle?
2,0,How can I find a list of celebrities ' real names ?,How can I find a list of celebrities' real names?
3,1,What fowl grabs the spotlight after the Chinese Year of the Monkey ?,What bird goes into the limelight after the Chinese year of the monkey?
4,2,What is the full form of .com ?,What is the full form of.com?
5,3,What contemptible scoundrel stole the cork from my lunch ?,What despicable villain stole the cork from my lunch?
6,3,What team did baseball 's St. Louis Browns become ?,What team was made of baseball's St. Louis Browns?
7,3,What is the oldest profession ?,What is the oldest profession?
8,0,What are liver enzymes ?,What are liver enzymes?
9,3,Name the scar-faced bounty hunter of The Old West .,Name the bounty hunter with the scar face of The Old West.
10,5,When was Ozzy Osbourne born ?,When was Ozzy Osbourne born?
11,0,Why do heavier objects travel downhill faster ?,Why do heavier objects go down faster?
12,3,Who was The Pride of the Yankees ?,Who was the pride of the Yankees?
13,3,Who killed Gandhi ?,Who killed Gandhi?
14,1,What is considered the costliest disaster the insurance industry has ever faced ?,What is considered to be the most cost -effective disaster the insurance industry has ever faced?
15,4,What sprawling U.S. state boasts the most airports ?,Which emerging U.S. state boasts most airports?
16,0,What did the only repealed amendment to the U.S. Constitution deal with ?,What does the only repealed amendment to the U S Constitution have to do with this?
17,5,How many Jews were executed in concentration camps during WWII ?,How many Jews were executed in concentration camps during World War II?
18,0,What is `` Nine Inch Nails '' ?,What is Nine Inch Nails?
19,0,What is an annotated bibliography ?,What is a commented bibliography?
20,5,What is the date of Boxing Day ?,What is the date of the boxing day?
21,1,What articles of clothing are tokens in Monopoly ?,What clothes are Token in Monopoly?
22,3,Name 11 famous martyrs .,Name 11 famous martyr.
23,0,What 's the Olympic motto ?,What is the Olympic motto?
24,0,What is the origin of the name ` Scarlett ' ?,What is the origin of the name Scarlett?
25,1,What 's the second-most-used vowel in English ?,What is the second most common vowel in English?
26,3,Who was the inventor of silly putty ?,Who invented stupid kitt?
27,4,What is the highest waterfall in the United States ?,What is the highest waterfall in the United States?
28,1,Name a golf course in Myrtle Beach .,Name a golf course in Myrtle Beach.
29,4,Which two states enclose Chesapeake Bay ?,Which two states encompass Chesapeake Bay?
30,2,What does the abbreviation AIDS stand for ?,What does the abbreviation AIDS stand for?
31,1,What does a spermologer collect ?,What does a spermologist collect?
32,5,How many points make up a perfect fivepin bowling score ?,How many points make up a perfect five bowling score?
33,3,Which company that manufactures video-game hardware sells the `` super system '' ?,Which company manufactures video game hardware sells the ````````super system''?
34,5,How many Community Chest cards are there in Monopoly ?,How many community Chest cards are there in Monopoly?
35,0,What do Mormons believe ?,What do Mormons think?
36,5,When did the neanderthal man live ?,When did the Neanderthal live?
37,1,In what religion was Isis the nature goddess ?,In what religion was Isis the goddess of nature?
38,4,Where do the adventures of `` The Swiss Family Robinson '' take place ?,Where do the adventures of the Swiss Robinson family take place?
39,1,What relative of the racoon is sometimes known as the cat-bear ?,What relation of the raccoon is sometimes known as a cat bear?
40,0,How can I register my website in Yahoo for free ?,How can I register my website in Yahoo for free?
41,1,What was cash-conscious Colonel Edwin L. Drake the first to drill ?,What was the cash -conscious Colonel Edwin L. Drake who first drilled?
42,5,How many people in the world speak French ?,How many people in the world speak French?
43,5,How many inches over six feet is the Venus de Milo ?,How many centimeters over six meters is Milo's Venus?
44,0,How do they find or choose witnesses to an execution ?,How do they find or choose witnesses to an execution?
45,3,What 1920s cowboy star rode Tony the Wonder Horse ?,What 1920s cowboy star rides Tony the Wonder Horse?
46,1,What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?,What cocktail inspired John Doxat to write the book Stirred -Not Shaken?
47,3,What ISPs exist in the Caribbean ?,What ISPs are there in the Caribbean?
48,0,How do you ask a total stranger out on a date ?,How can you ask a stranger out on a date?
49,1,What weapon is the mythological character Apollo most proficient with ?,Which weapon is the mythological character Apollo is most familiar with?
50,4,What country do the Galapagos Islands belong to ?,Which country do the Galapagos Islands belong to?
51,0,What is ethology ?,What is Ethology?
52,3,Who was the prophet of the Muslim people ?,Who was the prophet of the Muslim people?
53,0,Where did the term `` 86ed '' come from ?,Where does the term'86ed 'come from?
